,method,bias.strength,occupancy,sim,true.breadth,cor.all.pearson,cor.all.spearman,cor.native.pearson,cor.native.spearman,pred.native.over.0.5,test.auc,test.max.kappa,test.max.tss,train.auc,train.max.kappa,train.max.tss,true.native.over.0.5
922,glm,0.3,0.606153846,bias_0.3_rep_5,2351,-0.024834939,0.075173676,0.315435739,0.362643625,74,0.861666667,0.222413793,0.733333333,0.887285513,0.414678899,0.655414909,788
923,glm,0.3,0.638172439,bias_0.3_rep_19,2659,0.238855101,0.168664255,0.099951481,0.173706746,56,0.842890809,0.450137466,0.570568212,0.912807676,0.540955102,0.74302755,866
924,glm,0.3,0.889317393,bias_0.3_rep_4,3484,0.207329445,0.161913816,-0.014867186,-0.081737215,37,0.733495935,0.334773218,0.458536585,0.808301887,0.263548358,0.530225675,2306
925,glm,0.3,1,bias_0.3_rep_1,391,0.226370662,0.113105897,0.226370662,0.113105897,35,0.659790979,0.166105121,0.284928493,0.694273794,0.22091549,0.295953298,3
926,glm,0.3,1,bias_0.3_rep_2,1961,0.313768777,0.246068031,0.313768777,0.246068031,492,0.578397612,0.154929577,0.191919192,0.741959205,0.254908186,0.395901272,1300
927,glm,0.4,0.2615625,bias_0.4_rep_15,12954,0.366895907,0.624183094,0.374565304,0.47045001,0,0.644742883,0.240506329,0.282828283,0.748065733,0.256486887,0.400025577,3348
928,glm,0.4,0.274590164,bias_0.4_rep_19,2190,0.23295995,0.456772553,0.658322309,0.712292685,4,0.766093697,0.282758621,0.483653522,0.767295674,0.244586254,0.443267259,335
929,glm,0.4,0.276863375,bias_0.4_rep_3,7835,-0.090874208,0.404269285,0.123200964,0.11952675,18,0.779290429,0.243277048,0.53740374,0.838063146,0.396242347,0.557246775,2069
930,glm,0.4,0.425448185,bias_0.4_rep_4,2696,-0.169186078,0.131584545,0.409100229,0.484587969,10,0.679320238,0.192104659,0.337453101,0.794366903,0.243409386,0.539761608,973
931,glm,0.4,0.442979412,bias_0.4_rep_6,9215,0.539164552,0.80332787,0.531519094,0.632143833,1,0.615285488,0.11476557,0.256145916,0.673185903,0.184282756,0.25665616,3830
932,glm,0.4,0.453306411,bias_0.4_rep_8,2954,0.66884578,0.640348883,0.728718488,0.743843851,0,0.71747449,0.221891288,0.380102041,0.788573579,0.274193548,0.441084053,898
933,glm,0.4,0.470692718,bias_0.4_rep_5,3063,0.183079557,0.238584995,0.120535442,0.002088286,9,0.883333333,0.361904762,0.682795699,0.834728822,0.393543349,0.581517287,1060
934,glm,0.4,0.47839446,bias_0.4_rep_13,19664,-0.163089807,-0.119101803,-0.31704549,-0.215382802,1446,0.58565589,0.135559921,0.227424749,0.749909408,0.232124456,0.464944703,9809
935,glm,0.4,0.482701264,bias_0.4_rep_11,4150,0.387456762,-0.014270021,0.384231413,0.22567647,3,0.665977961,0.251968504,0.338383838,0.785696016,0.256894318,0.469435386,1451
936,glm,0.4,0.487590178,bias_0.4_rep_17,14900,-0.119619294,-0.105764236,0.179573543,0.165518389,0,0.693481848,0.273927393,0.369636964,0.616128736,0.151439592,0.240265297,7367
937,glm,0.4,0.492553191,bias_0.4_rep_16,3857,-0.59630784,-0.879059255,0.112881569,-0.15387458,20,0.832783278,0.595588235,0.5330033,0.88630876,0.483312732,0.649978605,1389
938,glm,0.4,0.513922105,bias_0.4_rep_7,12036,0.267653433,0.092484737,-0.035158399,-0.156663936,0,0.626080126,0.129096107,0.284105787,0.663545481,0.147823961,0.26877733,6017
939,glm,0.4,0.517423337,bias_0.4_rep_14,18940,0.324673812,0.429989842,0.241001081,0.341153758,3,0.701790634,0.323529412,0.358585859,0.678488075,0.175856878,0.290651576,10394
940,glm,0.4,0.791821561,bias_0.4_rep_20,2675,-0.262335464,-0.604199036,0.252401753,0.398414425,7,0.756615385,0.292397661,0.421538462,0.814873706,0.305313939,0.507163561,1491
941,glm,0.4,0.902462121,bias_0.4_rep_18,1484,0.125341456,0.385425905,0.126774548,0.192641362,2,0.597391721,0.155006859,0.191433357,0.754950299,0.302660306,0.408366125,953
942,glm,0.4,0.924107143,bias_0.4_rep_12,1169,-0.091228221,0.028324181,0.041596797,0.149832363,38,0.941272673,0.608834486,0.807909605,0.936671239,0.593904448,0.779677113,621
943,glm,0.4,0.966442953,bias_0.4_rep_10,558,0.040965335,0.237382208,0.030733214,0.094251474,25,0.837450593,0.357409925,0.585227273,0.881830861,0.403565251,0.644967306,288
944,glm,0.4,1,bias_0.4_rep_1,5084,-0.128435487,-0.17184477,-0.128435487,-0.17184477,306,0.73725,0.167896679,0.525,0.728132813,0.196181698,0.43875,4992
945,glm,0.5,0.313364055,bias_0.5_rep_19,2037,0.334931595,0.460427242,0.379924102,0.498241448,17,0.782306763,0.337771549,0.528985507,0.872191913,0.389829125,0.656840271,272
946,glm,0.5,0.334554015,bias_0.5_rep_8,5563,0.252971462,0.472785541,0.3446848,0.241112387,29,0.702526942,0.327833792,0.398736529,0.852444522,0.434111595,0.580278587,1279
947,glm,0.5,0.363449692,bias_0.5_rep_10,797,-0.104122371,-0.295001296,0.663312418,0.680913592,43,0.842236025,0.382141635,0.69378882,0.918753035,0.553323336,0.753952409,177
948,glm,0.5,0.41804463,bias_0.5_rep_9,7177,0.592134336,0.547608591,0.266329485,0.257509076,0,0.615099306,0.154689056,0.307250538,0.699015471,0.219620664,0.301869499,2604
949,glm,0.5,0.459872487,bias_0.5_rep_5,19499,0.118249488,0.278961112,0.155406221,0.192980536,650,0.665748393,0.315789474,0.333333333,0.696184219,0.176071384,0.336402583,9449
950,glm,0.5,0.496418191,bias_0.5_rep_12,22708,-0.51501953,-0.005290003,-0.183847133,0.329567323,450,0.566872655,0.085691668,0.185830942,0.668087205,0.161518094,0.331791496,12127
951,glm,0.5,0.499073884,bias_0.5_rep_16,22901,-0.046966194,-0.007702159,-0.04418258,0.18361674,36,0.53457765,0.051012753,0.154103853,0.641437128,0.212612694,0.269125618,12125
952,glm,0.5,0.51204115,bias_0.5_rep_7,9110,-0.300236265,0.047996338,0.090911186,0.249293665,4,0.634840871,0.207659874,0.302703996,0.747191011,0.288113823,0.42622355,4380
953,glm,0.5,0.522507718,bias_0.5_rep_20,17827,0.032340291,0.061099647,0.076006063,0.057199631,55,0.542113821,0.132196162,0.201626016,0.678460969,0.168853641,0.319644839,10493
954,glm,0.5,0.523729123,bias_0.5_rep_18,21167,0.269814491,0.421155887,0.172196352,0.295495547,0,0.498167059,0.093032843,0.177271537,0.666519878,0.162518302,0.253356819,11477
955,glm,0.5,0.537875728,bias_0.5_rep_6,16907,-0.521228015,0.006030176,0.136718142,0.158833837,12,0.597084708,0.130816506,0.228822882,0.637172199,0.152668213,0.22534996,9323
956,glm,0.5,0.569897084,bias_0.5_rep_13,2884,0.291954838,0.574304644,0.373683461,0.522217208,13,0.68067034,0.25257732,0.292929293,0.784489098,0.299610895,0.462977172,1329
957,glm,0.5,0.58499601,bias_0.5_rep_11,3132,0.425940708,0.581638532,0.462714418,0.469758595,11,0.723703274,0.171741778,0.458997392,0.849072576,0.309468989,0.592447582,733
958,glm,0.5,0.589700997,bias_0.5_rep_14,2611,0.284332794,0.526581396,0.152639248,0.188168529,0,0.73553719,0.324324324,0.45959596,0.772923461,0.263652925,0.438487116,1065
959,glm,0.5,0.605504587,bias_0.5_rep_15,3497,0.217645829,-0.093654222,0.647515174,0.498182701,11,0.871212121,0.472477064,0.691919192,0.839032227,0.326568095,0.581271181,792
960,glm,0.5,0.648199446,bias_0.5_rep_17,2790,-0.1638577,-0.15429845,0.30419348,0.107459191,29,0.79912764,0.466292135,0.449494949,0.86762261,0.452631579,0.683707398,1404
961,glm,0.5,0.65942029,bias_0.5_rep_4,679,0.078744777,0.463259085,0.689925195,0.696760625,29,0.758086253,0.324159951,0.478885894,0.891431353,0.536370588,0.689947184,182
962,glm,0.5,0.777824889,bias_0.5_rep_3,6539,0.226183695,0.06874782,0.364625168,0.320034104,103,0.669449242,0.245339299,0.321627327,0.791694251,0.314112291,0.470896776,3669
963,glm,0.5,1,bias_0.5_rep_1,2444,0.411021821,-0.101623002,0.411021821,-0.101623002,109,0.85625,0.382978723,0.615,0.748875,0.274269557,0.4725,1939
964,glm,0.5,1,bias_0.5_rep_2,3356,0.290617725,0.041146168,0.290617725,0.041146168,6,0.599066762,0.192104659,0.209380235,0.753686057,0.290148116,0.447936914,3115
965,glm,0.6,0.396707819,bias_0.6_rep_11,1359,0.007885935,0.265159508,0.632554767,0.675263529,2,0.645211443,0.095975232,0.327114428,0.718647317,0.20544074,0.400419861,482
966,glm,0.6,0.430962343,bias_0.6_rep_8,12458,0.357232112,0.4706688,0.241542274,0.27099293,374,0.818461538,0.419620775,0.65025641,0.873962733,0.406300825,0.630062112,5356
967,glm,0.6,0.450715512,bias_0.6_rep_16,9362,0.010821211,0.77674469,-0.108920194,0.374244549,52,0.64370187,0.203506098,0.256875688,0.771020539,0.317130307,0.434623143,3937
968,glm,0.6,0.465363128,bias_0.6_rep_17,2043,0.402517089,0.399335742,0.138184218,-0.119737373,6,0.755853994,0.296296296,0.484848485,0.795894878,0.274162246,0.51109406,833
